Plant_id;Start;End;N_weeks;Flowering_min
594;12;15;4;16800
595;12;15;4;16800
596;13;15;3;12600
597;13;15;3;12600
598;11;15;5;21000
599;11;15;5;21000
60;2;5;4;16800
600;12;15;4;16800
601;12;15;4;16800
602;12;15;4;16800
603;12;15;4;16800
604;12;15;4;16800
605;11;15;5;21000
606;12;15;4;16800
607;12;15;4;16800
608;12;15;4;16800
609;12;15;4;16800
610;12;15;4;16800
611;12;15;4;16800
612;12;15;4;16800
613;12;15;4;16800
614;12;15;4;16800
615;12;15;4;16800
616;11;15;5;21000
617;11;15;5;21000
619;11;15;5;21000
620;12;15;4;16800
621;11;15;5;21000
622;11;15;5;21000
623;12;15;4;16800
624;11;15;5;21000
625;12;14;3;12600
626;15;16;2;8400
627;16;18;3;12600
628;15;18;4;16800
629;15;18;4;16800
630;15;18;4;16800
631;15;16;2;8400
632;15;18;4;16800
633;15;17;3;12600
634;18;18;1;4200
635;16;17;2;8400
636;17;18;2;8400
637;15;16;2;8400
638;15;18;4;16800
639;17;18;2;8400
640;16;18;3;12600
641;17;18;2;8400
642;16;18;3;12600
643;16;18;3;12600
645;17;18;2;8400
646;15;18;4;16800
647;17;18;2;8400
648;17;18;2;8400
649;17;18;2;8400
650;15;17;3;12600
651;18;18;1;4200
652;17;18;2;8400
653;17;18;2;8400
656;17;18;2;8400
657;16;18;3;12600
658;16;18;3;12600
659;17;18;2;8400
660;16;18;3;12600
661;16;17;2;8400
662;16;16;1;4200
663;16;18;3;12600
664;16;18;3;12600
665;19;19;1;4200
666;16;18;3;12600
667;18;18;1;4200
668;18;18;1;4200
669;16;17;2;8400
670;16;18;3;12600
671;18;19;2;8400
672;16;18;3;12600
673;16;17;2;8400
674;16;18;3;12600
675;17;19;3;12600
677;17;18;2;8400
678;15;18;4;16800
679;16;18;3;12600
686;17;19;3;12600
688;16;18;3;12600
689;16;18;3;12600
690;17;18;2;8400
692;16;17;2;8400
76;2;9;8;33600
77;2;9;8;33600
78;1;9;9;37800
79;1;9;8;33600
80;1;8;8;33600
81;1;7;7;29400
82;2;9;8;33600
84;2;9;8;33600
85;1;9;9;37800
86;1;8;8;33600
87;2;8;7;29400
88;1;9;9;37800
90;1;9;8;33600
91;1;9;9;37800
92;2;9;8;33600
93;1;9;9;37800
94;2;8;7;29400
95;1;8;8;33600
96;1;9;9;37800
97;1;9;9;37800
98;1;9;9;37800
99;1;9;9;37800
Y;2;6;5;21000
