"Plant_id","ID","Plot","Plant_sp","Plant_sp_complete","N_flowers","Area_m2","Height_cm","sync_index_het","sync_index_con","Cover_con","Cover_het"
"667",446,"D","HPIC","Helichrysum_picardii",2,0.002,23,0,0.75,0,0.4375
"668",447,"D","HPIC","Helichrysum_picardii",2,0.007,24,0,0.75,0.0625,0.5
"669",448,"D","HPIC","Helichrysum_picardii",11,0.011,22,0.0567226890756303,0.679411764705882,0.09375,0.4375
"67",461,"E","UPAR","Ulex_parviflorus",4,0.263,54,0.429824561403509,0.733333333333333,0,0.46875
"670",449,"D","HPIC","Helichrysum_picardii",8,0.006,28,0.0178571428571429,0.727777777777778,0.0625,0.25
"671",450,"D","HPIC","Helichrysum_picardii",2,0.01,13,0,0.35,0.03125,0.25
"672",451,"D","HPIC","Helichrysum_picardii",8,0.007,17,0.0178571428571429,0.727777777777778,0.0625,0.53125
"673",452,"D","HPIC","Helichrysum_picardii",8,0.024,50,0.0438311688311688,0.695454545454545,0,0.46875
"674",453,"D","HPIC","Helichrysum_picardii",31,0.106,40,0.032967032967033,0.708974358974359,0,0.40625
"675",454,"D","HPIC","Helichrysum_picardii",27,0.008,22,0,0.208823529411765,0.0625,0.4375
"676",103,"A","HPIC","Helichrysum_picardii",8,0.029,40,0.0150829562594268,0.707692307692308,0,0.375
"677",104,"A","HPIC","Helichrysum_picardii",2,0.021,81,0,0.666666666666667,0,0.71875
"678",105,"A","HPIC","Helichrysum_picardii",5,0.011,80,0.0501089324618736,0.666666666666667,0.0625,0.5
"679",106,"A","HPIC","Helichrysum_picardii",30,0.025,61,0.0311942959001783,0.761363636363636,0.03125,0.53125
"68",462,"E","UPAR","Ulex_parviflorus",1,0.549,87,0.254385964912281,0.933333333333333,0.0625,0.34375
"680",107,"A","HPIC","Helichrysum_picardii",4,0.012,56,0.112745098039216,0.65,0,1.1875
"681",108,"A","HPIC","Helichrysum_picardii",4,0.012,95,0,0.65,0,0.25
"682",109,"A","HPIC","Helichrysum_picardii",5,0.009,45,0.0610021786492375,0.688888888888889,0,0.53125
