"Plant_id" "Plant_sp" "Plot" "Response" "Type" "Anthophora_sp" "Apis_mellifera" "Bombus_terrestris" "Bombylius_sp" "Ceratina_sp" "Chalicodoma_sicula" "Chrysolina_americana" "Colletes_sp" "Diptera_sp4" "Diptera_sp9" "Episyrphus_balteatus" "Eristalis_sp" "Eucera_sp" "Eupeodes_sp" "Halictidae_sp1" "Halictus_sp2" "Halictus_sp3" "Hymenoptera_sp1" "Lasioglossum_sp1" "Lasioglossum_sp2" "Lasioglossum_sp6" "Lobonyx_aeneus" "Malachius_sp" "Metasyrphus_corollae" "Nomada_sp" "Osmia_sp" "Rhyncomyia_cupraea" "Syrphidae_sp1" "Syrphidae_sp2" "Syrphidae_sp3" "Thyreus_sp" "Vespidae" "Xylocopa_cantabrita" "N_flowers"
"17" "240" "ROFF" "A" 2 "poisson" 0 0.0243114586875212 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00357021421285277 0.000167141307830033 0 0 0 0 0 0 0 0 0 0 0 0 0 1019
"18" "240" "ROFF" "A" 2 "poisson" 0 0.0243114586875212 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00357021421285277 0.000167141307830033 0 0 0 0 0 0 0 0 0 0 0 0 0 1019
"19" "240" "ROFF" "A" 2 "poisson" 0 0.0243114586875212 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00357021421285277 0.000167141307830033 0 0 0 0 0 0 0 0 0 0 0 0 0 1019
"20" "240" "ROFF" "A" 1 "poisson" 0 0.0243114586875212 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00357021421285277 0.000167141307830033 0 0 0 0 0 0 0 0 0 0 0 0 0 1019
"21" "16" "ROFF" "B" 2 "poisson" 0 0.00113476407995641 2.08405091355385e-05 9.12898766447546e-06 0 0 1.84686860452093e-06 0 0 0 0 0 9.12898766447546e-06 0 0 2.88600288600289e-05 0 0 0.000187172852856483 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12141
"22" "16" "ROFF" "B" 3 "poisson" 0 0.00113476407995641 2.08405091355385e-05 9.12898766447546e-06 0 0 1.84686860452093e-06 0 0 0 0 0 9.12898766447546e-06 0 0 2.88600288600289e-05 0 0 0.000187172852856483 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12141
"23" "16" "ROFF" "B" 3 "poisson" 0 0.00113476407995641 2.08405091355385e-05 9.12898766447546e-06 0 0 1.84686860452093e-06 0 0 0 0 0 9.12898766447546e-06 0 0 2.88600288600289e-05 0 0 0.000187172852856483 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12141
"24" "16" "ROFF" "B" 3 "poisson" 0 0.00113476407995641 2.08405091355385e-05 9.12898766447546e-06 0 0 1.84686860452093e-06 0 0 0 0 0 9.12898766447546e-06 0 0 2.88600288600289e-05 0 0 0.000187172852856483 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12141
"25" "16" "ROFF" "B" 4 "poisson" 0 0.00113476407995641 2.08405091355385e-05 9.12898766447546e-06 0 0 1.84686860452093e-06 0 0 0 0 0 9.12898766447546e-06 0 0 2.88600288600289e-05 0 0 0.000187172852856483 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12141
"26" "16" "ROFF" "B" 4 "poisson" 0 0.00113476407995641 2.08405091355385e-05 9.12898766447546e-06 0 0 1.84686860452093e-06 0 0 0 0 0 9.12898766447546e-06 0 0 2.88600288600289e-05 0 0 0.000187172852856483 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12141
"27" "16" "ROFF" "B" 3 "poisson" 0 0.00113476407995641 2.08405091355385e-05 9.12898766447546e-06 0 0 1.84686860452093e-06 0 0 0 0 0 9.12898766447546e-06 0 0 2.88600288600289e-05 0 0 0.000187172852856483 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12141
"28" "16" "ROFF" "B" 3 "poisson" 0 0.00113476407995641 2.08405091355385e-05 9.12898766447546e-06 0 0 1.84686860452093e-06 0 0 0 0 0 9.12898766447546e-06 0 0 2.88600288600289e-05 0 0 0.000187172852856483 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12141
"29" "16" "ROFF" "B" 2 "poisson" 0 0.00113476407995641 2.08405091355385e-05 9.12898766447546e-06 0 0 1.84686860452093e-06 0 0 0 0 0 9.12898766447546e-06 0 0 2.88600288600289e-05 0 0 0.000187172852856483 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12141
"30" "16" "ROFF" "B" 3 "poisson" 0 0.00113476407995641 2.08405091355385e-05 9.12898766447546e-06 0 0 1.84686860452093e-06 0 0 0 0 0 9.12898766447546e-06 0 0 2.88600288600289e-05 0 0 0.000187172852856483 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12141
"31" "17" "ROFF" "B" 2 "poisson" 0 0.00133690820174629 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00377238537509341 0.00124526798166966 0.000263713080168776 0 0 0 0 0 0.000432152117545376 0 0 0 0 0 0 1742
"32" "17" "ROFF" "B" 1 "poisson" 0 0.00133690820174629 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00377238537509341 0.00124526798166966 0.000263713080168776 0 0 0 0 0 0.000432152117545376 0 0 0 0 0 0 1742
"33" "17" "ROFF" "B" 1 "poisson" 0 0.00133690820174629 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00377238537509341 0.00124526798166966 0.000263713080168776 0 0 0 0 0 0.000432152117545376 0 0 0 0 0 0 1742
"34" "17" "ROFF" "B" 1 "poisson" 0 0.00133690820174629 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00377238537509341 0.00124526798166966 0.000263713080168776 0 0 0 0 0 0.000432152117545376 0 0 0 0 0 0 1742
"35" "17" "ROFF" "B" 1 "poisson" 0 0.00133690820174629 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00377238537509341 0.00124526798166966 0.000263713080168776 0 0 0 0 0 0.000432152117545376 0 0 0 0 0 0 1742
"36" "17" "ROFF" "B" 2 "poisson" 0 0.00133690820174629 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00377238537509341 0.00124526798166966 0.000263713080168776 0 0 0 0 0 0.000432152117545376 0 0 0 0 0 0 1742
"37" "17" "ROFF" "B" 2 "poisson" 0 0.00133690820174629 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00377238537509341 0.00124526798166966 0.000263713080168776 0 0 0 0 0 0.000432152117545376 0 0 0 0 0 0 1742
"38" "18" "ROFF" "B" 1 "poisson" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00401650720247757 0.00120675784392599 0 0 0 0 0 0 0 0 0 0 0 0 0 971
"39" "18" "ROFF" "B" 1 "poisson" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00401650720247757 0.00120675784392599 0 0 0 0 0 0 0 0 0 0 0 0 0 971
"40" "18" "ROFF" "B" 1 "poisson" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00401650720247757 0.00120675784392599 0 0 0 0 0 0 0 0 0 0 0 0 0 971
