"","Acmaeodera_sp","Andrena_sp","Apis_mellifera","Bombus_terrestris","Buprestidae_sp1","Buprestidae_sp2","Chasmatopterus_sp","Coptocephala_sp","Curculionidae","Dasypoda_sp","Diptera_sp1","Diptera_sp10","Diptera_sp4","Halictus_sp","Heliotaurus_ruficollis","Lasioglossum_sp2","Lasioglossum_sp3","Lasioglossum_sp4","Lasioglossum_sp6","Lobonyx_aeneus","Malachius_sp","Megachile_sp","Mordellidae_sp1","Mylabris_sp1","Nustera_distigma","Oedemera_sp","Osmia_sp","Paragus_tibialis","Phthiria_sp","Phthiria_sp1","Phthiria_sp2","Rhyncomyia_cupraea","Syritta_pipiens","Syrphidae_sp1","Tituboea_sp","Usia_sp","Vespula_sp","Xylocopa_cantabrita"
"482",0.00181608806215731,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011997764062227,0,0,0,0,0,0,0,0,0,0,0,0
"483",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"485",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"486",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0.000388302124137572,0.00192906269795075,0,0,0,0,0,0,0,0,0,0.011997764062227,0,0,0,0,0,0,0,0,0,0,0.000404148654058588,0.000110752202893025
"487",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011997764062227,0,0,0,0,0,0,0,0,0,0,0,0
"488",0,0,0,0.000138677764469265,0,0,0.00126839060479591,0,0,0,0,0,0,0,0.000388302124137572,0.00192906269795075,0,0,0,0,0,0,0,0,0,0,0.000522271471754624,0,0,0.00152394721834648,0,0,0,0,0,0,0,0.000110752202893025
"489",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0.000388302124137572,0.00192906269795075,0,0,0,0,0,0,0,0,0,0,0,0,0.0251091141377936,0,0,0,0,0,0,0,0,0.000110752202893025
"490",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011997764062227,0,0,0,0,0,0,0,0,0,0,0,0
"491",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011997764062227,0,0,0,0,0,0,0,0,0,0,0,0
"493",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0.000388302124137572,0.00192906269795075,0,0,0,0.000727254613317815,0,0.355399497478736,0,0,0,0,0,0,0,0,0,0.00367517960494002,0,0,0,0.0142865403815044,0,0
"494",0,0,0,0,0,0,0.00126839060479591,0.00911160663682847,0,0,0,0,0,0,0.000388302124137572,0,0,0,0,0,0,0,0,0.0151937840010457,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"495",0,0,0,0,0,0,0.00126839060479591,0,0,0,0.00232117568443178,0,0,0,0.000388302124137572,0.00192906269795075,0,0,0,0.000727254613317815,0,0,0,0,0,0,0.000522271471754624,0,0,0.00152394721834648,0,0,0,0,0,0,0,0
"496",0,0,0,0.000138677764469265,0,0,0.00126839060479591,0,0,0,0,0,0,0,0.000388302124137572,0.00192906269795075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110752202893025
