"","Ancistrocerus_sp","Andrena_sp","Anthrenus_sp","Apis_mellifera","Bombus_terrestris","Bombylius_sp","Ceratina_sp","Chalicodoma_sicula","Chasmatopterus_sp","Chelostoma_sp","Chrysolina_americana","Dasypoda_sp","Deilus_sp","Diodontus_insidiosus","Diptera_sp1","Diptera_sp3","Diptera_sp4","Diptera_sp6","Diptera_sp7","Diptera_sp8","Episyrphus_sp","Eristalis_sp","Halictidae_sp1","Halictus_sp","Heliotaurus_ruficollis","Hylaeus_sp","Lasioglossum_sp1","Lasioglossum_sp2","Lasioglossum_sp3","Lasioglossum_sp6","Lindenius_luteiventris","Lobonyx_aeneus","Malachius_sp","Megachile_sp","Megachilidae_sp","Microlepidoptera","Mordellidae_sp","Mylabris_sp","Nitidulidae_sp1","Nomada_sp","Nustera_distigma","Oedemera_sp","Phthiria_sp","Phthiria_sp1","Rhyncomyia_cupraea","Scaeva_sp","Sphaerophoria_scripta","Syrphidae_sp3","Syrphidae_sp4","Syrphidae_sp5","Tiphia_morio","Usia_sp","Vespidae","Vespula_sp","Xylocopa_cantabrita","Plant_id","Plant_sp","N_flowers","Flowering_min","degree","specificity"
"376",0,0,0,0.001171903610928,0.00063880589931045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0509994595863354,0,0,0,0,0,0,0,0,0,0,0,0,0.00321552826512849,0,0,0,0.001171903610928,0,0.00292255236239649,0,0,0,0.00141372729200537,0,0,0,0.002050831319124,"376","CLIB",345,21000,8,0.662543754581004
"377",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00661809289918055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"377","CLIB",29,16800,1,0.999999999999994
"378",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0307579718264276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"378","CLIB",14,12600,1,0.999999999999994
"379",0,0,0.00315966754024918,0.000875066927820907,0.000700053542256725,0,0,0,0.00157983377012459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00192986054125295,0,0,0,0,0,0,0,0,0,0,"379","CLIB",40,16800,5,0.134304596996586
"381",0,0,0.000783858108694251,0,0,0,0,0,0,0,0,0,0.000636913839790725,0,0,0,0,0,0,0,0,0,0,0,0.000391929054347125,0,0,0.0503519999557398,0,0,0,0.000904322662325918,0,0,0,0,0,0,0,0,0,0,0,0,0.00135648399348888,0,0,0,0,0,0,0,0,0,0.00400237402877377,"381","CLIB",259,16800,7,0.76511174683056
"382",0,0,0.00358144122080279,0,7.89404530641419e-05,0,0,0.00309405940594059,0,0,0,0,0,0.00103135313531353,0,0,0,0,0,0,0.000950796291894462,0,0,0,0,0,0,0.0954562973401795,0,0,0,0.000466358446214948,0,0.000286172905340045,0.00253545677838523,0,0,0,0,0,0,0,0,0,0.0114005362231389,0,0,0,0,0,0,0,0,0,0.0131423017407277,"382","CLIB",554,21000,11,0.539548566691704
"383",0,0,0.376398423281234,0,0.00925508760062354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0570067089918294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"383","CLIB",73,21000,3,0.756585688121614
"384",0,0,0.0345019530868025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071876452011583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00281109445277361,0,0,0,0,0,0,0,0,0,0,"384","CLIB",90,16800,3,0.529886210921289
"385",0,0,0,0,0,0,0,0,0,0,0,0.00337180253498245,0,0,0,0,0,0,0,0,0,0,0,0,0.000638371790255892,0,0,0.0226454775013815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00306527503180223,"385","CLIB",292,16800,4,0.611987070052905
"386",0,0.0179347501847024,0,0,0,0,0,0,0,0.000513663447709061,0,0,0,0,0,0,0.000998726623554967,0,0,0,0,0,0,0,0,0,0,0.0272490001427856,0,0,4.5695351013975e-05,0,0,0.000137086053041925,0.00462297102938155,0,0,0,0,0,0.000513663447709061,0,0.000513663447709061,0,0.00865819882787383,0,0,0,0,0,0.00124840827944371,0,0,0,0.0792594341638779,"386","CLIB",674,21000,12,0.315802048470471
