"","Acmaeodera_sp","Andrena_sp","Apis_mellifera","Bombus_terrestris","Buprestidae_sp1","Buprestidae_sp2","Chasmatopterus_sp","Coptocephala_sp","Curculionidae","Dasypoda_sp","Diptera_sp1","Diptera_sp10","Diptera_sp4","Halictus_sp","Heliotaurus_ruficollis","Lasioglossum_sp2","Lasioglossum_sp3","Lasioglossum_sp4","Lasioglossum_sp6","Lobonyx_aeneus","Malachius_sp","Megachile_sp","Mordellidae_sp1","Mylabris_sp1","Nustera_distigma","Oedemera_sp","Osmia_sp","Paragus_tibialis","Phthiria_sp","Phthiria_sp1","Phthiria_sp2","Rhyncomyia_cupraea","Syritta_pipiens","Syrphidae_sp1","Tituboea_sp","Usia_sp","Vespula_sp","Xylocopa_cantabrita","Plant_id","Plant_sp","N_flowers","Flowering_min","degree","specificity"
"501",0,0,0,0,0,0,0.482496511535889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158227848101266,0,0,0,0,0,0,0,0,0,"501","HHAL",14,16800,2,0.937828270568436
"502",0,0,0,0,0,0,0.0580950656024526,0,0,0,0,0,0,0,0,0.0806225587133218,0,0,0,0,0,0,0,0,0,0.00180328527083546,0,0,0,0,0,0,0,0,0,0,0,0,"502","HHAL",37,29400,3,0.414279032158877
"503",0.0072463768115942,0,0,0,0,0,0.0196143555058034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00617665225447807,0,0,0,0,0,0,0,0,0,0,0,0,"503","HHAL",117,33600,3,0.31860315622505
"504",0,0,0,0,0,0,0.339696385364065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100125836412641,0,0,0,0,0,0,0,"504","HHAL",94,25200,2,0.943847420660581
"505",0,0,0,0,0,0,0.0304475494216084,0,0,0,0,0,0,0,0.00448198155667842,0,0,0,0,0,0,0,0,0,0,0.00202047413793103,0,0,0,0,0,0,0,0,0,0,0,0,"505","HHAL",159,33600,3,0.670189307930738
"506",0,0,0,0,0,0,0.0655999243547062,0,0,0,0,0,0,0,0.00970590154080489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"506","HHAL",371,29400,2,0.76197586769439
"507",0,0,0,0,0,0,0.0200286815361716,0,0,0,0,0,0,0,0.00108816475184918,0.027715017918593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000999545459298113,0,0,0,0,0,0,0,"507","HHAL",549,33600,4,0.372997500456054
"509",0,0,0,0,0,0,0.0718012893257103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00427609307629263,0,0,0,0,0,0,0,0,0,0,0,0,"509","HHAL",71,25200,2,0.891402389311868
"510",0,0,0,0,0,0,0.259263983581355,0,0,0,0,0,0,0,0,0,0.0163576881134133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032978875270108,0,0,"510","HHAL",5,8400,3,0.697925763040782
"511",0,0,0,0,0,0,0.0182310270106622,0,0,0,0,0,0,0,0.000229540411373898,0.0113963545658956,0,0,0,0,0,0,0,0,0,0.00141236288310343,0,0,0,5.56625735373044e-05,0.000256581732821731,0,0,0,0,0,0,0,"511","HHAL",273,33600,6,0.363875464904083
