"","Andrena_sp","Anthophora_sp","Apis_mellifera","Attagenus_sp","Bombus_terrestris","Bombylius_sp","Cantharidae_sp","Colletes_sp","Dasypoda_sp","Diptera_sp7","Episyrphus_sp","Eristalis_sp","Eucera_sp","Eupeodes_sp","Hymenoptera_sp1","Lasioglossum_sp1","Lasioglossum_sp2","Lasioglossum_sp3","Lasioglossum_sp6","Lobonyx_aeneus","Malachius_sp","Malthodes_sp","Megachilidae_sp","Metasyrphus_corollae","Nitidulidae_sp1","Paragus_tibialis","Rhyncomyia_cupraea","Sphaerophoria_scripta","Syrphidae_sp1","Syrphidae_sp2","Syrphidae_sp3","Syrphidae_sp4","Xylocopa_cantabrita"
"128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2707.90364655806,0,0,15.4185022026432,0,0,0,0,0,0,0,0,0,0,0,0,55.0659073487988
"129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1784.81768384603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6326.32185564039
"130",0,162.558171681334,121.073158509653,0,0,0,0,0,0,0,0,128.667096345068,0,0,0,0,745.92963341683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458.202735223336
"131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440.559440559441,0,0,269.000158694957,0,0,0,0,0,0,0,0,0,140.648845823034,269.000158694957,0,0
"132",0,0,271.807020574476,0,0,0,0,0,0,0,0,40.4984632279577,0,0,47.5819585073992,0,1748.85723002392,0,197.009674582234,68.0679723472836,14.6182855324285,0,0,0,0,23.7909792536996,0,0,0,0,0,0,0
"133",238.760718177081,0,111.011585732956,0,0,0,0,0,0,0,0,151.691857645108,0,0,0,0,2872.59782074623,0,95.5042872708325,0,0,20.4640803648815,0,0,0,0,0,0,0,0,0,0,334.265005447913
"134",0,0,25.01447596989,0,0,0,0,0,0,0,100.05790387956,0,0,0,0,0,884.924420039332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135",0,0,0,0,0,0,0,0,0,0,0,13.6572676174107,0,0,0,0,696.231037551972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"136",0,0,0,0,0,0,0,0,0,0,0,263.736263736264,0,0,0,0,888.88888888889,0,0,33.8266384778011,0,0,0,0,0,0,0,0,0,0,0,0,0
"137",0,0,571.950409323928,0,0,0,0,0,0,0,0,0,0,0,0,23.9777349603939,1730.62616435702,0,0,54.0997464074387,11.988867480197,0,0,0,0,0,0,0,0,0,0,0,0
"138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1893.49243822381,0,0,211.930351172865,292.20458736575,0,0,0,0,0,0,0,0,0,0,0,155.798991479743
"139",0,0,183.673469387755,0,0,0,0,0,0,0,0,0,0,0,0,0,587.426319542535,0,0,0,37.4633649067665,0,0,0,88.0356557223893,0,0,0,0,0,88.0356557223893,0,0
"140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664.592370102795
"141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,703.243353001731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142",0,0,233.201133144476,0,0,0,0,0,0,0,0,0,0,0,0,0,1439.57000714151,0,0,0,0,0,0,0,0,0,0,0,0,17.2877985533986,0,0,0
"143",0,0,0,0,0,0,0,0,0,0,0,0,0,42.3173803526449,0,0,899.496602691314,0,0,310.844566115389,0,0,0,0,64.5875624119603,0,27.8040476640817,0,6.54678664610127,0,0,34.8341232227489,0
"144",0,0,0,0,0,0,0,0,0,0,0,71.8185353098661,0,0,0,0,0,0,0,0,71.8185353098661,0,0,0,0,0,0,0,0,0,69.8422195181918,0,0
"145",310.166240409206,0,0,0,0,43.5120435120435,0,0,0,0,0,65.2680652680653,0,0,0,0,1352.91110612144,0,0,11.0153615586362,0,0,0,0,0,0,0,13.5176557135851,0,0,48.6431559835408,0,0
"146",0,0,37.8449408672798,0,0,0,57.4784740833667,0,0,0,0,0,0,0,0,22.0173867458827,2079.05271546182,0,0,278.99654732817,18.92247043364,0,0,0,0,0,0,0,0,0,0,0,126.205223102632
"147",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1211480276574,0,0,57.3634440829723,20.7379106705851,0,0,0,0,0,0,0,0,0,0,0,0
"148",0,0,0,0,0,0,0,0,0,0,0,2.10879379929762,0,0,0,0,1750.6060504393,0,0,303.376352553069,2.10879379929762,0,0,0,13.8971269451655,0,0,0,0,0,0,0,0
"149",0,0,0,235.498647497084,0,0,0,0,0,0,0,0,0,0,0,0,475.279321439016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
