"","Andrena_sp","Anthophora_sp","Apis_mellifera","Attagenus_sp","Bombus_terrestris","Bombylius_sp","Cantharidae_sp","Colletes_sp","Dasypoda_sp","Diptera_sp7","Episyrphus_sp","Eristalis_sp","Eucera_sp","Eupeodes_sp","Hymenoptera_sp1","Lasioglossum_sp1","Lasioglossum_sp2","Lasioglossum_sp3","Lasioglossum_sp6","Lobonyx_aeneus","Malachius_sp","Malthodes_sp","Megachilidae_sp","Metasyrphus_corollae","Nitidulidae_sp1","Paragus_tibialis","Rhyncomyia_cupraea","Sphaerophoria_scripta","Syrphidae_sp1","Syrphidae_sp2","Syrphidae_sp3","Syrphidae_sp4","Xylocopa_cantabrita","Plant_id","Plant_sp","N_flowers","Flowering_min","degree","specificity"
"195",0,0,0,0,0,0,0,0.012326656394453,0,0,0,0,0,0,0,0,0.0177132862316464,0,0,0.00462249614791988,0,0,0,0,0,0,0,0,0,0,0,0,0,"195","HCOM",378,29400,3,0.222452748721698
"196",0,0,0,0,0,0,0,0,0,0,0,0.00225719480845194,0,0,0,0,0.0236640103879253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"196","HCOM",217,25200,2,0.823847792488275
"197",0,0,0.0232801582406453,0.0120066336494534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032362165458126,0,0,0,0.0120066336494534,0,0,0,0,0,0,0,0,"197","HCOM",107,25200,4,0.0853380928005753
"198",0,0,0,0,0,0,0,0.00359551280002557,0,0,0,0.00497206893763577,0,0,0,0,0.0179294435121849,0,0,0,0,0,0,0,0,0,0,0.000519777535214928,0,0,0,0,0,"198","HCOM",915,29400,4,0.363031219318372
"199",0,0,0,0.0130713847881626,0,0,0,0,0,0,0,0,0,0,0,0,0.0151684013899702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"199","HCOM",172,25200,2,0.378900624434315
"200",0,0,0,0,0,0,0,0,0,0,0,0.00149198467310669,0,0,0,0,0.0177710428433669,0,0,0,0,0,0,0,0,0,0,0,0,0.000206547967459745,0,0,0,"200","HCOM",724,25200,3,0.82165185183567
"201",0,0,0.000544909635818727,0.000103739994100152,0,0,0,0,0,0.000276599668080398,0,0.00040249007191156,0,0,0,0,0.0158810626955934,0.00025934998525038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"201","HCOM",1805,29400,6,0.809347029492779
"202",0,0,0,0,0,0,0,0.00248480129872281,0,0,0,0,0,0,0,0,0.00210520242836198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"202","HCOM",321,25200,2,0.379907037988743
"203",0,0,0.00263403318339082,0,0.0399977826133767,0,0,0,0,0,0,0.00452257259289009,0,0,0,0,0.060607222551416,0,0,0,0,0,0,0,0,0,0,0,0,0.0030186326248601,0,0,0,"203","HCOM",229,25200,5,0.268108315265544
"205",0.000767430259775143,0,0.000777998210604116,0,0,0,0,0,0.000689414618904468,0,0,0,0,0,0,0,0.00731193338335643,0,0,0.00217795038907282,0,0,0,0,0,0,0,0,0,0,0,0,0,"205","HCOM",804,29400,5,0.272910002539565
"207",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0179337382738434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"207","HCOM",262,25200,1,1
"208",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00671662091761015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"208","HCOM",567,29400,1,0.999999999999999
"209",0,0,0.00159235668789809,0.00520549379447531,0,0,0,0,0,0,0,0,0,0,0,0,0.0027474414451542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"209","HCOM",102,21000,3,0.227024298167986
"210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251880179328653,0,0,0.00754725079214301,0,0,0,0,0,0,0,0,0,0,0,0,0,"210","HCOM",410,29400,2,0.581079441061699
